SiteID,Date,Runoff (in),Sediment (pounds)
WRE1,1/1/1977,0,0
WRE1,1/2/1977,0,0
WRE1,1/3/1977,0,0
WRE1,1/4/1977,0,0
WRE1,1/5/1977,0,0
WRE1,1/6/1977,0,0
WRE1,1/7/1977,0,0
WRE1,1/8/1977,0,0
WRE1,1/9/1977,0,0
WRE1,1/10/1977,0,0
WRE1,1/11/1977,0,0
WRE1,1/12/1977,0,0
WRE1,1/13/1977,0,0
WRE1,1/14/1977,0,0
WRE1,1/15/1977,0,0
WRE1,1/16/1977,0,0
WRE1,1/17/1977,0,0
WRE1,1/18/1977,0,0
WRE1,1/19/1977,0,0
WRE1,1/20/1977,0,0
WRE1,1/21/1977,0,0
WRE1,1/22/1977,0,0
WRE1,1/23/1977,0,0
WRE1,1/24/1977,0,0
WRE1,1/25/1977,0,0
WRE1,1/26/1977,0,0
WRE1,1/27/1977,0,0
WRE1,1/28/1977,0,0
WRE1,1/29/1977,0,0
WRE1,1/30/1977,0,0
WRE1,1/31/1977,0,0
WRE1,2/1/1977,0,0
WRE1,2/2/1977,0,0
WRE1,2/3/1977,0,0
WRE1,2/4/1977,0,0
WRE1,2/5/1977,0,0
WRE1,2/6/1977,0,0
WRE1,2/7/1977,0,0
WRE1,2/8/1977,0,0
WRE1,2/9/1977,0,0
WRE1,2/10/1977,0,0
WRE1,2/11/1977,0,0
WRE1,2/12/1977,0,0
WRE1,2/13/1977,0,0
WRE1,2/14/1977,0,0
WRE1,2/15/1977,0,0
WRE1,2/16/1977,0,0
WRE1,2/17/1977,0,0
WRE1,2/18/1977,0,0
WRE1,2/19/1977,0,0
WRE1,2/20/1977,0,0
WRE1,2/21/1977,0,0
WRE1,2/22/1977,0,0
WRE1,2/23/1977,0,0
WRE1,2/24/1977,0,0
WRE1,2/25/1977,0,0
WRE1,2/26/1977,0,0
WRE1,2/27/1977,0,0
WRE1,2/28/1977,0,0
WRE1,3/1/1977,0,0
WRE1,3/2/1977,0,0
WRE1,3/3/1977,0,0
WRE1,3/4/1977,0,0
WRE1,3/5/1977,0,0
WRE1,3/6/1977,0,0
WRE1,3/7/1977,0,0
WRE1,3/8/1977,0,0
WRE1,3/9/1977,0,0
WRE1,3/10/1977,0,0
WRE1,3/11/1977,0,0
WRE1,3/12/1977,0,0
WRE1,3/13/1977,0,0
WRE1,3/14/1977,0,0
WRE1,3/15/1977,0,0
WRE1,3/16/1977,0,0
WRE1,3/17/1977,0,0
WRE1,3/18/1977,0,0
WRE1,3/19/1977,0,0
WRE1,3/20/1977,0,0
WRE1,3/21/1977,0,0
WRE1,3/22/1977,0,0
WRE1,3/23/1977,0,0
WRE1,3/24/1977,0,0
WRE1,3/25/1977,0,0
WRE1,3/26/1977,0,0
WRE1,3/27/1977,0,0
WRE1,3/28/1977,0,0
WRE1,3/29/1977,0,0
WRE1,3/30/1977,0,0
WRE1,3/31/1977,0,0
WRE1,4/1/1977,0,0
WRE1,4/2/1977,0,0
WRE1,4/3/1977,0,0
WRE1,4/4/1977,0,0
WRE1,4/5/1977,0,0
WRE1,4/6/1977,0,0
WRE1,4/7/1977,0,0
WRE1,4/8/1977,0,0
WRE1,4/9/1977,0,0
WRE1,4/10/1977,0,0
WRE1,4/11/1977,0,0
WRE1,4/12/1977,0,0
WRE1,4/13/1977,0,0
WRE1,4/14/1977,0,0
WRE1,4/15/1977,0,0
WRE1,4/16/1977,0,0
WRE1,4/17/1977,0,0
WRE1,4/18/1977,0,0
WRE1,4/19/1977,0,0
WRE1,4/20/1977,0,0
WRE1,4/21/1977,0,0
WRE1,4/22/1977,0,0
WRE1,4/23/1977,0,0
WRE1,4/24/1977,0,0
WRE1,4/25/1977,0,0
WRE1,4/26/1977,0,0
WRE1,4/27/1977,0,0
WRE1,4/28/1977,0,0
WRE1,4/29/1977,0,0
WRE1,4/30/1977,0,0
WRE1,5/1/1977,0,0
WRE1,5/2/1977,0,0
WRE1,5/3/1977,0,0
WRE1,5/4/1977,0,0
WRE1,5/5/1977,0,0
WRE1,5/6/1977,0,0
WRE1,5/7/1977,0,0
WRE1,5/8/1977,0,0
WRE1,5/9/1977,0,0
WRE1,5/10/1977,0,0
WRE1,5/11/1977,0,0
WRE1,5/12/1977,0,0
WRE1,5/13/1977,0,0
WRE1,5/14/1977,0,0
WRE1,5/15/1977,0,0
WRE1,5/16/1977,0,0
WRE1,5/17/1977,0,0
WRE1,5/18/1977,0,0
WRE1,5/19/1977,0,0
WRE1,5/20/1977,0.94366,201.2173
WRE1,5/21/1977,0.01619,1.2847
WRE1,5/22/1977,0,0
WRE1,5/23/1977,0,0
WRE1,5/24/1977,0,0
WRE1,5/25/1977,0,0
WRE1,5/26/1977,0.08578,39.7886
WRE1,5/27/1977,0.18779,23.3198
WRE1,5/28/1977,0,0
WRE1,5/29/1977,0,0
WRE1,5/30/1977,0,0
WRE1,5/31/1977,0,0
WRE1,6/1/1977,0,0
WRE1,6/2/1977,0,0
WRE1,6/3/1977,0,0
